대학,권역,자료학년도,자료집역할,민간자료링크,자료집명,근거등급,최종확인일
건양대,충청권,2028,탐색용 링크,https://drive.google.com/open?id=1pKRjRsKztGD0-ztlW8I9dcOMPPecmtG8&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
단국대(천안),충청권,2028,탐색용 링크,https://drive.google.com/open?id=1VsAIbZc5hCoKc91Itbjn7WeLrqKCSoj7&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
대전가톨릭대,충청권,2028,탐색용 링크,https://drive.google.com/open?id=1VsKgVD5rivGwtA5ARUdmuMpn8ft9it3m&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
한국기술교육대,충청권,2028,탐색용 링크,https://drive.google.com/open?id=1oN5PJEDn3p9c-L5lYMNIexlnlcxapNYp&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
한밭대,충청권,2028,탐색용 링크,https://drive.google.com/open?id=1O2GEvPPEcugvGOXLTBODUBHhte8TrQ4Y&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
원광대,전라권,2028,탐색용 링크,https://drive.google.com/open?id=1TODQun8z-fpRcA3iv5mLXzYacJdVTQql&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
광신대,전라권,2028,탐색용 링크,https://drive.google.com/open?id=1yMhyFTALyBRX3yPzk9KFFd4mvnZwVwJd&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
광주대,전라권,2028,탐색용 링크,https://drive.google.com/open?id=14MGCREpSAjOOQgnZHOGE0FvrBEwEI1VZ&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
송원대,전라권,2028,탐색용 링크,https://drive.google.com/open?id=1tKZkCfNNULBTMVIfo4FlAbo2kQ1zE8AC&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
전주대,전라권,2028,탐색용 링크,https://drive.google.com/open?id=1VZU0qe7gvG1XZgNQjoZ31ob4vrNcLJ6k&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
호남대,전라권,2028,탐색용 링크,https://drive.google.com/open?id=1PnBC2WzHWL1hZsiVY40ZmDTGCpCzfqem&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
부산장신대,경상권,2028,탐색용 링크,https://drive.google.com/open?id=1d7RkcQp1uG_fOn7AZvp7yOjlwTsY_gMR&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
가야대,경상권,2028,탐색용 링크,https://drive.google.com/open?id=15pteoSrBlGz98RmSYgHT9FWjKFicEtaO&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
동양대,경상권,2028,탐색용 링크,https://drive.google.com/open?id=1BxO3Po4khGfaUp0h_9iADRTP04uvKgHh&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
경성대,경상권,2028,탐색용 링크,https://drive.google.com/open?id=1zvftpqaqFWo55Kcsg1MSwLQU74goeJk5&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
영남대,경상권,2028,탐색용 링크,https://drive.google.com/open?id=1x_UViN3gWPgceB8sMUPvTN_4ODmM_e6C&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
동명대,경상권,2028,탐색용 링크,https://drive.google.com/open?id=1yRtZ1BK98P1mlldDtNZw-bw5ET7cE1yT&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
위덕대,경상권,2028,탐색용 링크,https://drive.google.com/open?id=1tgR5TZEuBgXDyCi0WYfFBqZsA6Fwcpd3&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
동아대,경상권,2028,탐색용 링크,https://drive.google.com/open?id=1l6targbC5BxJeNtTMI9To3wSV-ACFGYd&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
창신대,경상권,2028,탐색용 링크,https://drive.google.com/open?id=10IawrAba5yXi9yr4TXhu5WJqnkPrK0hW&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
